root@f193bdd3c5eb:/workspace/parameter-golf/records/codex_scylla_2/runs/C0# tail -f train.log
stopping_early: wallclock_cap train_time:180386ms step:278/9000
peak memory allocated: 21682 MiB reserved: 22620 MiB
ema:applying EMA weights
DIAGNOSTIC post_ema val_loss:6.2389 val_bpb:3.8661 eval_time:16503ms
Serialized model: 107567030 bytes
Code size: 122439 bytes
Serialized model int6+lzma: 5294760 bytes
Total submission size int6+lzma: 5417199 bytes
final_int6_roundtrip val_loss:6.6460 val_bpb:4.1184 eval_time:19902ms
final_int6_roundtrip_exact val_loss:6.64598424 val_bpb:4.11835538
final_int6_sliding_window val_loss:6.6457 val_bpb:4.1182 stride:64 eval_time:591874ms
final_int6_sliding_window_exact val_loss:6.64571869 val_bpb:4.11819421
final_int8_zlib_roundtrip_exact val_loss:6.64571869 val_bpb:4.11819421
ttt_sliding:start chunks=1892 chunk_tokens=34304 total_windows=1013952 stride=64 ttt_lr=0.0015 ttt_epochs=3 freeze_blocks=2 freeze_embeddings=False
ttt_sliding:params unfrozen=27693900 frozen=4112 frozen_blocks=[0, 1] freeze_emb=False
  ttt_chunk [871/1892] bpb=2.894381 time=900.2s
  ttt_chunk [881/1892] bpb=2.893235 time=910.5s
  ttt_chunk [891/1892] bpb=2.892082 time=920.9s
  ttt_chunk [901/1892] bpb=2.890627 time=931.2s
  ttt_chunk [911/1892] bpb=2.888768 time=941.5s
  ttt_chunk [921/1892] bpb=2.886981 time=951.9s
  ttt_chunk [931/1892] bpb=2.885641 time=962.2s
  ttt_chunk [941/1892] bpb=2.883794 time=972.5s
  ttt_chunk [951/1892] bpb=2.882157 time=982.9s
  ttt_chunk [961/1892] bpb=2.880041 time=993.2s
  ttt_chunk [971/1892] bpb=2.878257 time=1003.5s
  ttt_chunk [981/1892] bpb=2.875860 time=1013.9s
  ttt_chunk [991/1892] bpb=2.873887 time=1024.2s
  ttt_chunk [1001/1892] bpb=2.872018 time=1034.5s
  ttt_chunk [1011/1892] bpb=2.870489 time=1044.9s
  ttt_chunk [1021/1892] bpb=2.868595 time=1055.2s
  ttt_chunk [1031/1892] bpb=2.866491 time=1065.5s
  ttt_chunk [1041/1892] bpb=2.864680 time=1075.9s
  ttt_chunk [1051/1892] bpb=2.862811 time=1086.2s
  ttt_chunk [1061/1892] bpb=2.860938 time=1096.5s
  ttt_chunk [1071/1892] bpb=2.860022 time=1106.9s
  ttt_chunk [1081/1892] bpb=2.857962 time=1117.2s
  ttt_chunk [1091/1892] bpb=2.856445 time=1127.5s
  ttt_chunk [1101/1892] bpb=2.854865 time=1137.9s
  ttt_chunk [1111/1892] bpb=2.853181 time=1148.2s
  ttt_chunk [1121/1892] bpb=2.851461 time=1158.5s
  ttt_chunk [1131/1892] bpb=2.849888 time=1168.9s
  ttt_chunk [1141/1892] bpb=2.847933 time=1179.2s
  ttt_chunk [1151/1892] bpb=2.846460 time=1189.5s
  ttt_chunk [1161/1892] bpb=2.844532 time=1199.9s
  ttt_chunk [1171/1892] bpb=2.842555 time=1210.2s
  ttt_chunk [1181/1892] bpb=2.840526 time=1220.5s
  ttt_chunk [1191/1892] bpb=2.838942 time=1230.9s
  ttt_chunk [1201/1892] bpb=2.837516 time=1241.2s
  ttt_chunk [1211/1892] bpb=2.836048 time=1251.5s
  ttt_chunk [1221/1892] bpb=2.835238 time=1261.9s
  ttt_chunk [1231/1892] bpb=2.833435 time=1272.2s
  ttt_chunk [1241/1892] bpb=2.831629 time=1282.5s
  ttt_chunk [1251/1892] bpb=2.830150 time=1292.9s
  ttt_chunk [1261/1892] bpb=2.828761 time=1303.2s
  ttt_chunk [1271/1892] bpb=2.827137 time=1313.6s
  ttt_chunk [1281/1892] bpb=2.825214 time=1323.9s
  ttt_chunk [1291/1892] bpb=2.823672 time=1334.2s
  ttt_chunk [1301/1892] bpb=2.822190 time=1344.6s
  ttt_chunk [1311/1892] bpb=2.820602 time=1354.9s
  ttt_chunk [1321/1892] bpb=2.818914 time=1365.2s
  ttt_chunk [1331/1892] bpb=2.817228 time=1375.6s
  ttt_chunk [1341/1892] bpb=2.815954 time=1385.9s
  ttt_chunk [1351/1892] bpb=2.814838 time=1396.2s
  ttt_chunk [1361/1892] bpb=2.813911 time=1406.6s
  ttt_chunk [1371/1892] bpb=2.813236 time=1416.9s
  ttt_chunk [1381/1892] bpb=2.812346 time=1427.2s
  ttt_chunk [1391/1892] bpb=2.811252 time=1437.6s
  ttt_chunk [1401/1892] bpb=2.810211 time=1447.9s
  ttt_chunk [1411/1892] bpb=2.809406 time=1458.2s
  ttt_chunk [1421/1892] bpb=2.808486 time=1468.6s
  ttt_chunk [1431/1892] bpb=2.808192 time=1478.9s
  ttt_chunk [1441/1892] bpb=2.807347 time=1489.2s
  ttt_chunk [1451/1892] bpb=2.806612 time=1499.6s
  ttt_chunk [1461/1892] bpb=2.805928 time=1509.9s
  ttt_chunk [1471/1892] bpb=2.805408 time=1520.2s
  ttt_chunk [1481/1892] bpb=2.804643 time=1530.6s
  ttt_chunk [1491/1892] bpb=2.804515 time=1540.9s
  ttt_chunk [1501/1892] bpb=2.803854 time=1551.2s
  ttt_chunk [1511/1892] bpb=2.803262 time=1561.6s
  ttt_chunk [1521/1892] bpb=2.802634 time=1571.9s
  ttt_chunk [1531/1892] bpb=2.802173 time=1582.2s
  ttt_chunk [1541/1892] bpb=2.801065 time=1592.6s
  ttt_chunk [1551/1892] bpb=2.800381 time=1602.9s
  ttt_chunk [1561/1892] bpb=2.799453 time=1613.2s
  ttt_chunk [1571/1892] bpb=2.798759 time=1623.6s
  ttt_chunk [1581/1892] bpb=2.798062 time=1633.9s
  ttt_chunk [1591/1892] bpb=2.796763 time=1644.2s
  ttt_chunk [1601/1892] bpb=2.795726 time=1654.6s
  ttt_chunk [1611/1892] bpb=2.794608 time=1664.9s
  ttt_chunk [1621/1892] bpb=2.793608 time=1675.2s
  ttt_chunk [1631/1892] bpb=2.792493 time=1685.6s
  ttt_chunk [1641/1892] bpb=2.791646 time=1695.9s
  ttt_chunk [1651/1892] bpb=2.790820 time=1706.2s
  ttt_chunk [1661/1892] bpb=2.789883 time=1716.6s
  ttt_chunk [1671/1892] bpb=2.789124 time=1726.9s
  ttt_chunk [1681/1892] bpb=2.788440 time=1737.2s
  ttt_chunk [1691/1892] bpb=2.787705 time=1747.6s
  ttt_chunk [1701/1892] bpb=2.786852 time=1757.9s
  ttt_chunk [1711/1892] bpb=2.785943 time=1768.2s
  ttt_chunk [1721/1892] bpb=2.784995 time=1778.6s
  ttt_chunk [1731/1892] bpb=2.784301 time=1788.9s
  ttt_chunk [1741/1892] bpb=2.783222 time=1799.2s
  ttt_chunk [1751/1892] bpb=2.782206 time=1809.6s
  ttt_chunk [1761/1892] bpb=2.781368 time=1819.9s
  ttt_chunk [1771/1892] bpb=2.780562 time=1830.2s
  ttt_chunk [1781/1892] bpb=2.779758 time=1840.6s
