root@57f7131ecc21:/workspace/parameter-golf# tail -f /workspace/parameter-golf/records/codex_scylla_2/runs/C1/train.log
stopping_early: wallclock_cap train_time:180295ms step:280/9000
peak memory allocated: 21682 MiB reserved: 22620 MiB
ema:applying EMA weights
DIAGNOSTIC post_ema val_loss:6.2772 val_bpb:3.8898 eval_time:16408ms
Serialized model: 107567030 bytes
Code size: 122439 bytes
Serialized model int6+lzma: 5297672 bytes
Total submission size int6+lzma: 5420111 bytes
final_int6_roundtrip val_loss:6.6923 val_bpb:4.1471 eval_time:19659ms
final_int6_roundtrip_exact val_loss:6.69233716 val_bpb:4.14707916
final_int6_sliding_window val_loss:6.6921 val_bpb:4.1469 stride:64 eval_time:583091ms
final_int6_sliding_window_exact val_loss:6.69211202 val_bpb:4.14694306
final_int8_zlib_roundtrip_exact val_loss:6.69211202 val_bpb:4.14694306
ttt_sliding:start chunks=1892 chunk_tokens=34304 total_windows=1013952 stride=64 ttt_lr=0.0015 ttt_epochs=3 freeze_blocks=2 freeze_embeddings=True
ttt_sliding:params unfrozen=25970760 frozen=1727252 frozen_blocks=[0, 1] freeze_emb=True
  ttt_chunk [871/1892] bpb=3.104506 time=883.6s
  ttt_chunk [881/1892] bpb=3.103354 time=893.7s
  ttt_chunk [891/1892] bpb=3.102159 time=903.8s
  ttt_chunk [901/1892] bpb=3.100782 time=914.0s
  ttt_chunk [911/1892] bpb=3.098904 time=924.1s
  ttt_chunk [921/1892] bpb=3.097180 time=934.3s
  ttt_chunk [931/1892] bpb=3.095821 time=944.4s
  ttt_chunk [941/1892] bpb=3.093848 time=954.6s
  ttt_chunk [951/1892] bpb=3.092203 time=964.7s
  ttt_chunk [961/1892] bpb=3.089980 time=974.8s
  ttt_chunk [971/1892] bpb=3.088051 time=985.0s
  ttt_chunk [981/1892] bpb=3.085529 time=995.1s
  ttt_chunk [991/1892] bpb=3.083513 time=1005.2s
  ttt_chunk [1001/1892] bpb=3.081592 time=1015.4s
  ttt_chunk [1011/1892] bpb=3.080003 time=1025.5s
  ttt_chunk [1021/1892] bpb=3.078020 time=1035.7s
  ttt_chunk [1031/1892] bpb=3.075730 time=1045.8s
  ttt_chunk [1041/1892] bpb=3.073874 time=1055.9s
  ttt_chunk [1051/1892] bpb=3.071924 time=1066.1s
  ttt_chunk [1061/1892] bpb=3.069965 time=1076.2s
  ttt_chunk [1071/1892] bpb=3.068996 time=1086.3s
  ttt_chunk [1081/1892] bpb=3.066901 time=1096.5s
  ttt_chunk [1091/1892] bpb=3.065210 time=1106.6s
  ttt_chunk [1101/1892] bpb=3.063610 time=1116.7s
  ttt_chunk [1111/1892] bpb=3.061959 time=1126.9s
  ttt_chunk [1121/1892] bpb=3.060259 time=1137.0s
  ttt_chunk [1131/1892] bpb=3.058715 time=1147.1s
  ttt_chunk [1141/1892] bpb=3.056753 time=1157.3s
  ttt_chunk [1151/1892] bpb=3.055215 time=1167.4s
  ttt_chunk [1161/1892] bpb=3.053263 time=1177.6s
  ttt_chunk [1171/1892] bpb=3.051286 time=1187.7s
  ttt_chunk [1181/1892] bpb=3.049174 time=1197.9s
  ttt_chunk [1191/1892] bpb=3.047499 time=1208.0s
  ttt_chunk [1201/1892] bpb=3.046020 time=1218.1s
  ttt_chunk [1211/1892] bpb=3.044624 time=1228.3s
  ttt_chunk [1221/1892] bpb=3.043687 time=1238.4s
  ttt_chunk [1231/1892] bpb=3.041823 time=1248.5s
  ttt_chunk [1241/1892] bpb=3.040008 time=1258.7s
  ttt_chunk [1251/1892] bpb=3.038620 time=1268.8s
  ttt_chunk [1261/1892] bpb=3.037183 time=1278.9s
  ttt_chunk [1271/1892] bpb=3.035513 time=1289.1s
  ttt_chunk [1281/1892] bpb=3.033550 time=1299.2s
  ttt_chunk [1291/1892] bpb=3.031923 time=1309.4s
  ttt_chunk [1301/1892] bpb=3.030393 time=1319.5s
  ttt_chunk [1311/1892] bpb=3.028777 time=1329.6s
  ttt_chunk [1321/1892] bpb=3.027080 time=1339.8s
  ttt_chunk [1331/1892] bpb=3.025310 time=1349.9s
  ttt_chunk [1341/1892] bpb=3.024018 time=1360.1s
  ttt_chunk [1351/1892] bpb=3.022869 time=1370.2s
  ttt_chunk [1361/1892] bpb=3.021913 time=1380.4s
  ttt_chunk [1371/1892] bpb=3.021189 time=1390.5s
  ttt_chunk [1381/1892] bpb=3.020177 time=1400.7s
  ttt_chunk [1391/1892] bpb=3.018990 time=1410.8s
  ttt_chunk [1401/1892] bpb=3.017853 time=1420.9s
  ttt_chunk [1411/1892] bpb=3.016955 time=1431.1s
  ttt_chunk [1421/1892] bpb=3.015976 time=1441.2s
  ttt_chunk [1431/1892] bpb=3.015732 time=1451.4s
  ttt_chunk [1441/1892] bpb=3.014797 time=1461.5s
  ttt_chunk [1451/1892] bpb=3.014070 time=1471.7s
  ttt_chunk [1461/1892] bpb=3.013407 time=1481.8s
  ttt_chunk [1471/1892] bpb=3.012731 time=1492.0s
  ttt_chunk [1481/1892] bpb=3.011956 time=1502.1s
  ttt_chunk [1491/1892] bpb=3.011747 time=1512.3s
  ttt_chunk [1501/1892] bpb=3.011106 time=1522.4s
  ttt_chunk [1511/1892] bpb=3.010486 time=1532.6s
  ttt_chunk [1521/1892] bpb=3.009809 time=1542.7s
  ttt_chunk [1531/1892] bpb=3.009288 time=1552.9s
  ttt_chunk [1541/1892] bpb=3.008051 time=1563.0s
  ttt_chunk [1551/1892] bpb=3.007280 time=1573.2s
  ttt_chunk [1561/1892] bpb=3.006324 time=1583.3s
  ttt_chunk [1571/1892] bpb=3.005529 time=1593.5s
  ttt_chunk [1581/1892] bpb=3.004745 time=1603.6s
  ttt_chunk [1591/1892] bpb=3.003275 time=1613.8s
  ttt_chunk [1601/1892] bpb=3.002111 time=1623.9s
  ttt_chunk [1611/1892] bpb=3.000859 time=1634.1s
  ttt_chunk [1621/1892] bpb=2.999779 time=1644.2s
  ttt_chunk [1631/1892] bpb=2.998569 time=1654.4s
  ttt_chunk [1641/1892] bpb=2.997612 time=1664.5s
  ttt_chunk [1651/1892] bpb=2.996701 time=1674.7s
  ttt_chunk [1661/1892] bpb=2.995698 time=1684.8s
  ttt_chunk [1671/1892] bpb=2.994863 time=1695.0s
  ttt_chunk [1681/1892] bpb=2.994129 time=1705.1s
  ttt_chunk [1691/1892] bpb=2.993302 time=1715.3s
  ttt_chunk [1701/1892] bpb=2.992412 time=1725.4s
  ttt_chunk [1711/1892] bpb=2.991440 time=1735.6s
  ttt_chunk [1721/1892] bpb=2.990492 time=1745.8s
  ttt_chunk [1731/1892] bpb=2.989751 time=1755.9s
  ttt_chunk [1741/1892] bpb=2.988638 time=1766.1s
  ttt_chunk [1751/1892] bpb=2.987599 time=1776.3s
  ttt_chunk [1761/1892] bpb=2.986745 time=1786.4s
  ttt_chunk [1771/1892] bpb=2.985861 time=1796.6s
  ttt_chunk [1781/1892] bpb=2.985017 time=1806.8s
  ttt_chunk [1791/1892] bpb=2.984006 time=1816.9s
  ttt_chunk [1801/1892] bpb=2.983090 time=1827.1s
  ttt_chunk [1811/1892] bpb=2.982249 time=1837.3s
  ttt_chunk [1821/1892] bpb=2.981236 time=1847.4s
  ttt_chunk [1831/1892] bpb=2.980477 time=1857.6s
  ttt_chunk [1841/1892] bpb=2.979771 time=1867.8s
  ttt_chunk [1851/1892] bpb=2.979105 time=1877.9s
  ttt_chunk [1861/1892] bpb=2.978239 time=1888.1s
  ttt_chunk [1871/1892] bpb=2.977596 time=1898.3s
  ttt_chunk [1881/1892] bpb=2.976837 time=1908.5s
  ttt_chunk [1891/1892] bpb=2.976284 time=1918.7s
  ttt_chunk [1892/1892] bpb=2.976299 time=1919.3s
ttt_sliding:done val_loss=4.802989 val_bpb=2.976299 elapsed=1919.3s
legal_ttt val_loss:4.8030 val_bpb:2.9763 eval_time:1919800ms
legal_ttt_exact val_loss:4.80298946 val_bpb:2.97629862
